Date, Mood
1/1/2022, tired
1/2/2022, ok
1/3/2022, ok
1/4/2022, stressed
1/5/2022, ok
1/6/2022, ok
1/7/2022, ok
1/8/2022, tired
1/9/2022, tired
1/10/2022, ok
1/11/2022, tired
1/12/2022, stressed
1/13/2022, stressed
1/14/2022, stressed
1/15/2022, tired
1/16/2022, ok
1/17/2022, amazing
1/18/2022, stressed
1/19/2022, tired
1/20/2022, ok
1/21/2022, ok
1/22/2022, tired
1/23/2022, sad
1/24/2022, ok
1/25/2022, ok
1/26/2022, tired
1/27/2022, ok
1/28/2022, ok
1/29/2022, ok
1/30/2022, ok
1/31/2022, ok
2/1/2022, stressed
2/2/2022, tired
2/3/2022, amazing
2/4/2022, ok
2/5/2022, tired
2/6/2022, ok
2/7/2022, stressed
2/8/2022, stressed
2/9/2022, stressed
2/10/2022, sad
2/11/2022, sad
2/12/2022, ok
2/13/2022, stressed
2/14/2022, stressed
2/15/2022, ok
2/16/2022, amazing
2/17/2022, stressed
2/18/2022, tired
2/19/2022, ok
2/20/2022, ok
2/21/2022, ok
2/22/2022, stressed
2/23/2022, stressed
2/24/2022, ok
2/25/2022, sad
2/26/2022, tired
2/27/2022, tired
2/28/2022, stressed
3/1/2022, stressed
3/2/2022, stressed
3/3/2022, tired
3/4/2022, tired
3/5/2022, tired
3/6/2022, ok
3/7/2022, tired
3/8/2022, ok
3/9/2022, tired
3/10/2022, tired
3/11/2022, stressed
3/12/2022, ok
3/13/2022, amazing
3/14/2022, ok
3/15/2022, ok
3/16/2022, sad
3/17/2022, amazing
3/18/2022, amazing
3/19/2022, ok
3/20/2022, amazing
3/21/2022, amazing
3/22/2022, ok
3/23/2022, stressed
3/24/2022, sad
3/25/2022, ok
3/26/2022, amazing
3/27/2022, stressed
3/28/2022, stressed
3/29/2022, tired
3/30/2022, amazing
3/31/2022, ok
4/1/2022, ok
4/2/2022, tired
4/3/2022, stressed
4/4/2022, stressed
4/5/2022, ok
4/6/2022, tired
4/7/2022, stressed
4/8/2022, stressed
4/9/2022, tired
4/10/2022, stressed
4/11/2022, stressed
4/12/2022, ok
4/13/2022, stressed
4/14/2022, ok
4/15/2022, tired
4/16/2022, stressed
4/17/2022, sad
4/18/2022, ok
4/19/2022, ok
4/20/2022, ok
4/21/2022, ok
4/22/2022, tired
4/23/2022, amazing
4/24/2022, ok
4/25/2022, amazing
4/26/2022, stressed
4/27/2022, stressed
4/28/2022, stressed
4/29/2022, stressed
4/30/2022, stressed
5/1/2022, stressed
5/2/2022, stressed
5/3/2022, stressed
5/4/2022, stressed
5/5/2022, ok
5/6/2022, tired
5/7/2022, tired
5/8/2022, ok
5/9/2022, ok
5/10/2022, ok
5/11/2022, ok
5/12/2022, amazing
5/13/2022, amazing
5/14/2022, sad
